month,partner,exports,,raw,check (col. c - col. e)
2000M01,IDN,186.32,,186.32,0
2000M02,IDN,188.6,,188.6,0
2000M03,IDN,222.76,,222.76,0
2000M04,IDN,208.67,,208.67,0
2000M05,IDN,227.92,,227.92,0
2000M06,IDN,244.36,,244.36,0
2000M07,IDN,246.11,,246.11,0
2000M08,IDN,266.87,,266.87,0
2000M09,IDN,253.54,,253.54,0
2000M10,IDN,257.03,,257.03,0
2000M11,IDN,238.66,,238.66,0
2000M12,IDN,226.86,,226.86,0
2001M01,IDN,217.87,,217.87,0
2001M02,IDN,186.5,,186.5,0
2001M03,IDN,194.18,,194.18,0
2001M04,IDN,167.87,,167.87,0
2001M05,IDN,182.39,,182.39,0
2001M06,IDN,177.25,,177.25,0
2001M07,IDN,188.41,,188.41,0
2001M08,IDN,192.24,,192.24,0
2001M09,IDN,166.62,,166.62,0
2001M10,IDN,187.87,,187.87,0
2001M11,IDN,175.13,,175.13,0
2001M12,IDN,164.34,,164.34,0
2002M01,IDN,178.23,,178.23,0
2002M02,IDN,175.93,,175.93,0
2002M03,IDN,200.58,,200.58,0
2002M04,IDN,216.12,,216.12,0
2002M05,IDN,231.32,,231.32,0
2002M06,IDN,225.96,,225.96,0
2002M07,IDN,273.37,,273.37,0
2002M08,IDN,274.33,,274.33,0
2002M09,IDN,270.25,,270.25,0
2002M10,IDN,288.94,,288.94,0
2002M11,IDN,282.89,,282.89,0
2002M12,IDN,285.02,,285.02,0
2003M01,IDN,299.64,,299.64,0
2003M02,IDN,289.41,,289.41,0
2003M03,IDN,309.01,,309.01,0
2003M04,IDN,326.91,,326.91,0
2003M05,IDN,313.73,,313.73,0
2003M06,IDN,302.83,,302.83,0
2003M07,IDN,331.31,,331.31,0
2003M08,IDN,314.24,,314.24,0
2003M09,IDN,330.84,,330.84,0
2003M10,IDN,356.97,,356.97,0
2003M11,IDN,308.5,,308.5,0
2003M12,IDN,319.14,,319.14,0
2004M01,IDN,328.26,,328.26,0
2004M02,IDN,308.89,,308.89,0
2004M03,IDN,363.1,,363.1,0
2004M04,IDN,337.24,,337.24,0
2004M05,IDN,323.24,,323.24,0
2004M06,IDN,380.02,,380.02,0
2004M07,IDN,405.79,,405.79,0
2004M08,IDN,406.03,,406.03,0
2004M09,IDN,427.64,,427.64,0
2004M10,IDN,437,,437,0
2004M11,IDN,455.24,,455.24,0
2004M12,IDN,432.28,,432.28,0
2005M01,IDN,466.98,,466.98,0
2005M02,IDN,459.14,,459.14,0
2005M03,IDN,543.63,,543.63,0
2005M04,IDN,542.81,,542.81,0
2005M05,IDN,544.5,,544.5,0
2005M06,IDN,538.92,,538.92,0
2005M07,IDN,554.41,,554.41,0
2005M08,IDN,622.68,,622.68,0
2005M09,IDN,622.14,,622.14,0
2005M10,IDN,608.06,,608.06,0
2005M11,IDN,583.31,,583.31,0
2005M12,IDN,575.77,,575.77,0
2006M01,IDN,637.57,,637.57,0
2006M02,IDN,628.11,,628.11,0
2006M03,IDN,624.01,,624.01,0
2006M04,IDN,659.95,,659.95,0
2006M05,IDN,678.33,,678.33,0
2006M06,IDN,710.34,,710.34,0
2006M07,IDN,730.26,,730.26,0
2006M08,IDN,735.65,,735.65,0
2006M09,IDN,747.14,,747.14,0
2006M10,IDN,680.18,,680.18,0
2006M11,IDN,709.23,,709.23,0
2006M12,IDN,802.81,,802.81,0
2007M01,IDN,702.77,,702.77,0
2007M02,IDN,696.59,,696.59,0
2007M03,IDN,774.67,,774.67,0
2007M04,IDN,763.93,,763.93,0
2007M05,IDN,820.92,,820.92,0
2007M06,IDN,817.14,,817.14,0
2007M07,IDN,832.33,,832.33,0
2007M08,IDN,826.54,,826.54,0
2007M09,IDN,810.51,,810.51,0
2007M10,IDN,852.22,,852.22,0
2007M11,IDN,849.04,,849.04,0
2007M12,IDN,928.85,,928.85,0
2008M01,IDN,931.23,,931.23,0
2008M02,IDN,880.32,,880.32,0
2008M03,IDN,974.26,,974.26,0
2008M04,IDN,917.28,,917.28,0
2008M05,IDN,1062.4,,"1,062.40",0
2008M06,IDN,1063.02,,"1,063.02",0
2008M07,IDN,1050.98,,"1,050.98",0
2008M08,IDN,1042.6,,"1,042.60",0
2008M09,IDN,1097.48,,"1,097.48",0
2008M10,IDN,982.25,,982.25,0
2008M11,IDN,842.88,,842.88,0
2008M12,IDN,791.8,,791.8,0
2009M01,IDN,681.96,,681.96,0
2009M02,IDN,734.47,,734.47,0
2009M03,IDN,845.34,,845.34,0
2009M04,IDN,808.48,,808.48,0
2009M05,IDN,931.34,,931.34,0
2009M06,IDN,989.83,,989.83,0
2009M07,IDN,1004.57,,"1,004.57",0
2009M08,IDN,1066.6,,"1,066.60",0
2009M09,IDN,988.91,,988.91,0
2009M10,IDN,1153.49,,"1,153.49",0
2009M11,IDN,1020.97,,"1,020.97",0
2009M12,IDN,1273.37,,"1,273.37",0
2010M01,IDN,1076.67,,"1,076.67",0
2010M02,IDN,1069.14,,"1,069.14",0
2010M03,IDN,1185.49,,"1,185.49",0
2010M04,IDN,1092.08,,"1,092.08",0
2010M05,IDN,1131.83,,"1,131.83",0
2010M06,IDN,1111.61,,"1,111.61",0
2010M07,IDN,1070.2,,"1,070.20",0
2010M08,IDN,1299.92,,"1,299.92",0
2010M09,IDN,1175.48,,"1,175.48",0
2010M10,IDN,1420.13,,"1,420.13",0
2010M11,IDN,1995.97,,"1,995.97",0
2010M12,IDN,2064.1,,"2,064.10",0
2011M01,IDN,1293.14,,"1,293.14",0
2011M02,IDN,1338.66,,"1,338.66",0
2011M03,IDN,1365.75,,"1,365.75",0
2011M04,IDN,1679.64,,"1,679.64",0
2011M05,IDN,1906.87,,"1,906.87",0
2011M06,IDN,2046.74,,"2,046.74",0
2011M07,IDN,2047.82,,"2,047.82",0
2011M08,IDN,2017.52,,"2,017.52",0
2011M09,IDN,2122.04,,"2,122.04",0
2011M10,IDN,2393.36,,"2,393.36",0
2011M11,IDN,2430.22,,"2,430.22",0
2011M12,IDN,2299.25,,"2,299.25",0
2012M01,IDN,1397.7,,"1,397.70",0
2012M02,IDN,1622.65,,"1,622.65",0
2012M03,IDN,2133.47,,"2,133.47",0
2012M04,IDN,2098.04,,"2,098.04",0
2012M05,IDN,1883.13,,"1,883.13",0
2012M06,IDN,1660.38,,"1,660.38",0
2012M07,IDN,1622.92,,"1,622.92",0
2012M08,IDN,1355.94,,"1,355.94",0
2012M09,IDN,1715.03,,"1,715.03",0
2012M10,IDN,1932.86,,"1,932.86",0
2012M11,IDN,2170.07,,"2,170.07",0
2012M12,IDN,2067.31,,"2,067.31",0
2013M01,IDN,1634.88,,"1,634.88",0
2013M02,IDN,1893.69,,"1,893.69",0
2013M03,IDN,1855.25,,"1,855.25",0
2013M04,IDN,1827.08,,"1,827.08",0
2013M05,IDN,1941.79,,"1,941.79",0
2013M06,IDN,1624.23,,"1,624.23",0
2013M07,IDN,1790.48,,"1,790.48",0
2013M08,IDN,1593.39,,"1,593.39",0
2013M09,IDN,1722.57,,"1,722.57",0
2013M10,IDN,1885.95,,"1,885.95",0
2013M11,IDN,2296.41,,"2,296.41",0
2013M12,IDN,2535.75,,"2,535.75",0
2014M01,IDN,1874.55,,"1,874.55",0
2014M02,IDN,1700.37,,"1,700.37",0
2014M03,IDN,1570.31,,"1,570.31",0
2014M04,IDN,1315.97,,"1,315.97",0
2014M05,IDN,1492.71,,"1,492.71",0
2014M06,IDN,1376.33,,"1,376.33",0
2014M07,IDN,1301.35,,"1,301.35",0
2014M08,IDN,1229.69,,"1,229.69",0
2014M09,IDN,1379.18,,"1,379.18",0
2014M10,IDN,1399.42,,"1,399.42",0
2014M11,IDN,1462.19,,"1,462.19",0
2014M12,IDN,1504.15,,"1,504.15",0
2015M01,IDN,1252.98,,"1,252.98",0
2015M02,IDN,1150.15,,"1,150.15",0
2015M03,IDN,1262.94,,"1,262.94",0
2015M04,IDN,1255.38,,"1,255.38",0
2015M05,IDN,1273.33,,"1,273.33",0
2015M06,IDN,1332.4,,"1,332.40",0
2015M07,IDN,1190.51,,"1,190.51",0
2015M08,IDN,1284.08,,"1,284.08",0
2015M09,IDN,1155.85,,"1,155.85",0
2015M10,IDN,1287.72,,"1,287.72",0
2015M11,IDN,1214.52,,"1,214.52",0
2015M12,IDN,1384.79,,"1,384.79",0
2016M01,IDN,1036.45,,"1,036.45",0
2016M02,IDN,1111.81,,"1,111.81",0
2016M03,IDN,1201.45,,"1,201.45",0
2016M04,IDN,1166.84,,"1,166.84",0
2016M05,IDN,1087.58,,"1,087.58",0
2016M06,IDN,1389.02,,"1,389.02",0
2016M07,IDN,1097.46,,"1,097.46",0
2016M08,IDN,1460.8,,"1,460.80",0
