GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
190362919,20120411,201204,2012,2012.2767,PHLGOV,PHILIPPINE,PHL,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,0,040,040,04,1,1.0,2,1,2,3.26086956521739,4,"Manila, Manila, Philippines",RP,RPD9,14.6042,120.982,-2437894,4,"Xisha, Hunan, China",CH,CH11,27.6842,110.212,9173309,4,"Scarborough, New South Wales, Australia",AS,AS02,-34.2667,150.95,-1599629,20130203,unspecified
271160846,20131010,201310,2013,2013.7671,VNMGOV,VIETNAM,VNM,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,0,051,051,05,1,3.4,6,1,6,2.89855072463768,1,"Vietnam, Republic Of",VM,VM,16.0,106.0,VM,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Gloucester, New South Wales, Australia",AS,AS02,-32.0077,151.963,-1575586,20131010,http://www.gloucesteradvocate.com.au/story/1833676/tony-abbott-warns-of-conflict-risk-in-south-china-sea/?cs=12&c=Ytry9JGeZm5TBdxKrJ0KxtYMt0RTuiUe9c-T4LPLcA8&mkt=en-us
19302826,19970403,199704,1997,1997.2548,VNMGOV,DO MUOI,VNM,,,,,GOV,,,CHNGOV,JIANG ZEMIN,CHN,,,,,GOV,,,0,040,040,04,1,1.0,4,1,4,10.7202680067002,4,"Jia Xiang, Hebei, China",CH,CH10,38.2389,117.405,-1912031,4,"Jia Xiang, Hebei, China",CH,CH10,38.2389,117.405,-1912031,4,"Jia Xiang, Hebei, China",CH,CH10,38.2389,117.405,-1912031,20130203,unspecified
420250336,20150326,201503,2015,2015.2356,SGPGOV,SINGAPORE,SGP,,,,,GOV,,,CHNGOV,BEIJING,CHN,,,,,GOV,,,0,036,036,03,1,4.0,1,1,1,-0.34782608695652,1,Singapore,SN,SN,1.3667,103.8,SN,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,1,Russia,RS,RS,60.0,100.0,RS,20150326,"CCTV-1, Beijing/BBC Monitoring/(c) BBC"
302072342,20140620,201406,2014,2014.4658,VNMGOV,VIETNAM,VNM,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,1,040,040,04,1,1.0,2,1,2,2.41691842900302,1,"Vietnam, Republic Of",VM,VM,16.0,106.0,VM,4,"Guangdong, Jilin, China",CH,CH05,42.7683,129.336,10884162,4,"Guangdong, Jilin, China",CH,CH05,42.7683,129.336,10884162,20140620,http://www.chinatopix.com/articles/3297/20140620/second-chinese-oil-rig-inches-closer-vietnam.htm
180379831,20061009,200610,2006,2006.7644,VNMGOV,PHAM GIA KHIEM,VNM,,,,,GOV,,,CHNGOV,HO HAU WAH,CHN,,,,,GOV,,,1,050,050,05,1,3.5,2,1,1,17.0418006430868,4,"Hanoi, Ha N?i, Vietnam, Republic Of",VM,VM44,21.0333,105.85,-3714993,4,"Hanoi, Ha N?i, Vietnam, Republic Of",VM,VM44,21.0333,105.85,-3714993,4,"Macao, Macau (general), Macau",MC,MC00,22.2006,113.546,-1204094,20130203,unspecified
552861882,20160622,201606,2016,2016.4712,PHLGOV,PHILIPPINE,PHL,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,1,046,046,04,1,7.0,1,1,1,-0.39745627980922,4,"Davao, Davao City, Philippines",RP,RPC3,7.07306,125.613,-2424066,4,"Davao, Davao City, Philippines",RP,RPC3,7.07306,125.613,-2424066,4,"Davao, Davao City, Philippines",RP,RPC3,7.07306,125.613,-2424066,20160622,http://malaya.com.ph/business-news/opinion/potential-crisis-awaits-president-duterte
542661058,20160521,201605,2016,2016.3863,PHLGOV,PHILIPPINE,PHL,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,1,040,040,04,1,1.0,2,1,2,-5.21042084168336,4,"Davao, Davao City, Philippines",RP,RPC3,7.07306,125.613,-2424066,4,"Davao, Davao City, Philippines",RP,RPC3,7.07306,125.613,-2424066,4,"Davao, Davao City, Philippines",RP,RPC3,7.07306,125.613,-2424066,20160521,http://ecommerce-journal.com/2016/05/philippines-president-elect-vows-to-reimpose-death-penalty/
542661057,20160521,201605,2016,2016.3863,PHLGOV,PHILIPPINE,PHL,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,1,013,013,01,1,0.4,2,1,2,-5.21042084168336,4,"Davao, Davao City, Philippines",RP,RPC3,7.07306,125.613,-2424066,4,"Davao, Davao City, Philippines",RP,RPC3,7.07306,125.613,-2424066,4,"Davao, Davao City, Philippines",RP,RPC3,7.07306,125.613,-2424066,20160521,http://ecommerce-journal.com/2016/05/philippines-president-elect-vows-to-reimpose-death-penalty/
577808054,20160910,201609,2016,2016.6849,VNMGOV,NGUYEN XUAN PHUC,VNM,,,,,GOV,,,CHNGOV,CHINA,CHN,,,,,GOV,,,0,040,040,04,1,1.0,1,1,1,5.49882168106834,1,Cambodia,CB,CB,13.0,105.0,CB,1,Cambodia,CB,CB,13.0,105.0,CB,1,Cambodia,CB,CB,13.0,105.0,CB,20160910,http://news.xinhuanet.com/english/2016-09/10/c_135678280.htm
