month,partner,industrial production,industrial production_millions,log_industrial production_millions,IIP,log_IIP,,,raw,check (col. c - col. m),,industrial production_millions,check (col. d - col. m),,log_industrial production_millions,check (col. e - col. q)
2000M01,IDN,15758157312,15758.15731,9.665113435,0.456217489,-0.784785635,,,"15,758,157,312",0,,15758.15731,0,,9.665113435,0
2000M02,IDN,20417383934,20417.38393,9.924141971,0.591107668,-0.525757099,,,"20,417,383,934",0,,20417.38393,0,,9.924141971,0
2000M03,IDN,20191003984,20191.00398,9.912992437,0.584553698,-0.536906633,,,"20,191,003,984",0,,20191.00398,0,,9.912992437,0
2000M04,IDN,19636509929,19636.50993,9.885145864,0.568500432,-0.564753205,,,"19,636,509,929",0,,19636.50993,0,,9.885145864,0
2000M05,IDN,20814577774,20814.57777,9.943408875,0.602606904,-0.506490195,,,"20,814,577,774",0,,20814.57777,0,,9.943408875,0
2000M06,IDN,20599563546,20599.56355,9.933025167,0.596381986,-0.516873902,,,"20,599,563,546",0,,20599.56355,0,,9.933025167,0
2000M07,IDN,20797678021,20797.67802,9.942596626,0.602117636,-0.507302443,,,"20,797,678,021",0,,20797.67802,0,,9.942596626,0
2000M08,IDN,21358177769,21358.17777,9.969189979,0.618344774,-0.48070909,,,"21,358,177,769",0,,21358.17777,0,,9.969189979,0
2000M09,IDN,21256543422,21256.54342,9.964420053,0.615402338,-0.485479017,,,"21,256,543,422",0,,21256.54342,0,,9.964420053,0
2000M10,IDN,21218096811,21218.09681,9.96260972,0.614289263,-0.48728935,,,"21,218,096,811",0,,21218.09681,0,,9.96260972,0
2000M11,IDN,21608987765,21608.98776,9.980864607,0.625606023,-0.469034462,,,"21,608,987,765",0,,21608.98776,0,,9.980864607,0
2000M12,IDN,19955389087,19955.38909,9.901254515,0.577732365,-0.548644554,,,"19,955,389,087",0,,19955.38909,0,,9.901254515,0
2001M01,IDN,20978346453,20978.34645,9.951246063,0.607348203,-0.498653006,,,"20,978,346,453",0,,20978.34645,0,,9.951246063,0
2001M02,IDN,21681075858,21681.07586,9.984195079,0.62769306,-0.46570399,,,"21,681,075,858",0,,21681.07586,0,,9.984195079,0
2001M03,IDN,21108381510,21108.38151,9.957425469,0.611112874,-0.492473601,,,"21,108,381,510",0,,21108.38151,0,,9.957425469,0
2001M04,IDN,21593773069,21593.77307,9.980160268,0.62516554,-0.469738801,,,"21,593,773,069",0,,21593.77307,0,,9.980160268,0
2001M05,IDN,21929984550,21929.98455,9.995610137,0.634899264,-0.454288932,,,"21,929,984,550",0,,21929.98455,0,,9.995610137,0
