year,partner,total trade,total trade with CHN,trade share CHN,GDP/1000s,trade share CHN of GDP,CHN GDP/1000s,partner/CHN GDP,partner/CHN GDPx100
2000,IDN,95638811.77,4789678.57,5.008090838,165021012.1,2.90246588,1211346870,13.62293627,1362.293627
2010,IDN,293442383.7,36116828.11,12.30797939,755094160.4,4.783089316,6087163875,12.40469578,1240.469578
2019,IDN,338958706.2,72892485.76,21.5048277,1119099868,6.51349248,14279937501,7.836868111,783.6868111
2000,MYS,180186975.8,6270509.68,3.480001621,93789736.84,6.685709856,1211346870,7.742599514,774.2599514
2010,MYS,363376964.1,45737035.1,12.58666333,255016609.2,17.93492402,6087163875,4.189415867,418.9415867
2019,MYS,442994562.5,76054981.1,17.16837802,365276379.5,20.82121521,14279937501,2.557969035,255.7969035
2000,PHL,75085651.56,1538748.86,2.049324775,83669693.59,1.839075529,1211346870,6.907162241,690.7162241
2010,PHL,109965318.3,10678761.77,9.711027018,208368726.9,5.12493498,6087163875,3.423083905,342.3083905
2019,PHL,188173939.3,36570808.56,19.4345767,376823278.6,9.705029026,14279937501,2.638830027,263.8830027
2000,SGP,272351514.5,12495632.34,4.588053187,96074477.96,13.00619333,1211346870,7.931211148,793.1211148
2010,SGP,666311438.6,70032951.28,10.51054315,239809387.6,29.20359039,6087163875,3.939591451,393.9591451
2019,SGP,749306394.6,100652008.3,13.43269043,375472731.3,26.80674253,14279937501,2.629372371,262.9372371
2000,THA,130740350.8,6185402.6,4.731058593,126392233.7,4.893815402,1211346870,10.43402488,1043.402488
2010,THA,377704900.1,45712562.41,12.10271892,341104820.2,13.40132408,6087163875,5.603674013,560.3674013
2019,THA,450479195.1,73861354.5,16.39617441,544081056.2,13.57543213,14279937501,3.810108106,381.0108106
2000,VNM,30119271,2937528,9.752985057,31172518.4,9.423454217,1211346870,2.573376725,257.3376725
2010,VNM,157075217.7,27946592.7,17.79185356,147198853.6,18.98560486,6087163875,2.418184505,241.8184505
2019,VNM,518052338.5,117020375.8,22.58852381,330391329.5,35.41871877,14279937501,2.313674899,231.3674899
2000,CHN,,,,1211346870,,1211346870,,
2010,CHN,,,,6087163875,,6087163875,,
2019,CHN,,,,14279937501,,14279937501,,
